EmployeeID,FirstName,LastName,Department,JobTitle,Salary,HireDate,PerformanceRating,Status,TerminationDate
"1000","Jennifer","Garcia","Marketing","Marketing Coordinator","61322"," 2022-08-06 ","2","Terminated","2025-08-31"
"1001","Linda","Johnson"," Production ","Production Worker","64630"," 2025-06-12 ","3","Terminated","2029-11-09"
"1002","#N/A","Davis","#N/A","Production Worker","50845","2025-10-09","5","Active",""
"1003","James"," Smith ","Quality Control"," QC Inspector ","68382","2023-05-02","5","On Leave",""
"1004","Mary","Smith","Human Resources","HR Generalist","45587"," 2024-07-28 ","","Terminated","#N/A"
"1005","Michael","Smith","Human Resources"," HR Generalist ","62759"," 2023-10-21 ","2"," On Leave ",""
"1005","Michael","Smith","Human Resources","HR Generalist","62759","2023-10-21","2","On Leave",""
"1007"," Patricia ","Jones","IT Support","IT Technician","45378","2025-10-27","5","On Leave","  "
"1007","Patricia","Jones","IT Support","IT Technician","45378","2025-10-27","5","On Leave",""
"","John"," Jones ","Sales","Sales Associate","49276"," 2026-01-10 ","5","Terminated","2030-07-20"
"1010","Patricia","","Quality Control","QC Inspector","61299","2025-09-20","3","On Leave",""
"1011","Patricia"," Garcia "," Finance ","","54546","","2","On Leave",""
"1012","Mary"," Brown ","Marketing","","48709","2026-05-01","5"," Terminated ","2027-08-10"
"1013","Linda"," Smith ","Logistics","Warehouse Associate","","2026-01-13","5","Active",""
"1014","Mary","Brown","","Warehouse Associate","47288","","1","On Leave",""
"1015","Mary","Davis","","","55781","2026-06-18","4","On Leave","#N/A"
"1016"," Patricia ","Williams","Finance","Accountant","60382","2025-02-12","2","On Leave",""
"1017"," Mary ","Brown","","HR Generalist","57939","2025-06-06","4","Terminated","2030-02-25"
"1018","Jennifer"," Johnson ","Sales","Sales Associate","69556","2026-08-23","1","Terminated","#N/A"
"1019","Robert","Brown"," Quality Control ","QC Inspector","49412","2022-11-03","5","",""
"1020","","Miller","Finance","Accountant","74447","2023-01-08","5","Active",""
"1021","","Davis","Human Resources","","56827","2022-11-13","5","","2023-10-26"
"1022","Linda","Johnson",""," Marketing Coordinator ","71434","2022-10-25","1","On Leave",""
"1023","John","Smith","#N/A","Sales Associate","65729","2023-07-02","3","Active",""
"1024","Michael","Davis","Finance","Accountant","64097","","1","Active","  "
"1025","James","","#N/A","","62417","2024-07-26","1"," Active ",""
"","Linda"," Garcia ","Human Resources","HR Generalist","69469","","1","Terminated","2028-02-03"
"1027","John"," Miller ",""," Warehouse Associate ","62648","2023-08-18","5","On Leave",""
"1028","Michael","Garcia","Marketing","Marketing Coordinator","58634","2025-11-27","2","On Leave",""
"1029","John"," Jones ","Quality Control","QC Inspector","65003","2023-04-04","3","On Leave",""
"1030"," Robert "," Smith "," Human Resources ","HR Generalist","","2022-04-02","1","Terminated","2023-12-27"
"1031","John","Miller","Quality Control"," QC Inspector ","47535","2022-08-01","3","Active",""
"1032","Michael","Jones","Human Resources","HR Generalist","73561","2026-05-08","","",""
"1033","Michael","Johnson","IT Support","","60230","2024-07-31","3","Terminated","2025-04-29"
